,AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
223,150A106RA0020,4.0,,特设,2,223,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
224,150A106RD0010,8.0,,机械,5,224,"0,5,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0","0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0"
225,150A106RE0010,8.0,,特设,2,225,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
226,150A106RE0020,4.0,,特设,1,226,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
227,150A106RE0030,4.0,,特设,1,227,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
228,150A106RE0040,4.0,,特设,2,228,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
229,150A106RE0045,4.0,,特设,2,229,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
230,150A106RH0010,5.0,,机械,2,230,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
231,150A106RH0040,5.0,,机械,2,231,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
232,150A106RH0045,4.0,,机械,2,232,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
233,150A106RH0050,8.0,,机械,3,233,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0"
234,150A106RH0080,5.0,,机械,2,234,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
235,150A106RH0090,8.0,,机械,4,235,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
236,150A106RH0095,8.0,,机械,4,236,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
237,150A106RH0210,5.0,,机械,2,237,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
238,150A106RH0220,4.0,,机械,2,238,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
239,150A106RH0230,4.0,,机械,2,239,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
240,150A106RH0240,5.0,,机械,3,240,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0"
241,150A106RH0250,4.0,,机械,2,241,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
242,150A106RH0260,8.0,,机械,3,242,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0"
243,150A106RH0270,8.0,,机械,4,243,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
244,150A106RH0280,8.0,,机械,4,244,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0"
245,150A106RH0290,8.0,,机械,2,245,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
246,150A106RH0300,4.0,,机械,2,246,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
247,150A106RH0310,8.0,,机械,2,247,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
248,150A106RS0010,8.0,,结构,2,248,"2,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
249,150A106RS0020,8.0,,结构,2,249,"2,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
250,150A106RW0010,8.0,,特设,2,250,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
251,150A106RW0020,8.0,,特设,2,251,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
252,150A106RW0030,8.0,,特设,2,252,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
253,150A106RW0040,4.0,,特设,2,253,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
254,150A106RW0050,8.0,,特设,2,254,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
255,150A106RW0055,8.0,,特设,2,255,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
256,150A106RW0060,8.0,,特设,2,256,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
257,150A106RW0065,8.0,,特设,2,257,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
258,150A106RW0070,8.0,,特设,2,258,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
259,150A106RW0075,8.0,,特设,2,259,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0"
260,150A107BE3040,1.0,,特设,2,260,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
261,150A107BE3050,1.0,,特设,2,261,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
262,150A107FA0010,2.0,,特设,2,262,"0,0,2","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
263,150A107FA0015,2.0,,特设,2,263,"0,0,2","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
264,150A107FA0020,2.0,,特设,2,264,"0,0,2","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
265,150A107FA0030,1.0,,特设,1,265,"0,0,1","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
266,150A107FA0040,3.0,,特设,1,266,"0,0,1","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
267,150A107FA0050,2.0,,特设,2,267,"0,0,2","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
268,150A107FE2601,1.0,,特设,1,268,"0,0,1","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
269,150A107FE2602,1.0,,特设,1,269,"0,0,1","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
270,150A107FW0016,2.0,,机械,2,270,"0,2,0","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
271,150A107FZ0010,4.0,,机械,2,271,"0,2,0","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
272,150A107FZ0020,2.0,,机械,2,272,"0,2,0","0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
273,150A107LD0030.01,4.0,,机械,2,273,"0,2,0","0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0"
274,150A107LD0030.02,4.0,,机械,2,274,"0,2,0","0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0"
275,150A107PD0010,4.0,,特设,2,275,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
276,150A107PD0020,4.0,,特设,2,276,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
277,150A107PE2603,4.0,,特设,2,277,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
278,150A107PE2604,4.0,,特设,2,278,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
279,150A107PE7001,2.0,,特设,1,279,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
280,150A107PE7002,2.0,,特设,1,280,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
281,150A107PE7003,2.0,,特设,1,281,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
282,150A107PE7004,2.0,,特设,1,282,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
283,150A107PE7005,2.0,,特设,1,283,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
284,150A107PE7006,2.0,,特设,1,284,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
285,150A107PE7007,2.0,,特设,1,285,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
286,150A107PE7008,2.0,,特设,1,286,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
287,150A107PW0010,5.0,,特设,2,287,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
288,150A107PW0020,5.0,,特设,2,288,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
289,150A108GE0030,2.0,,特设,2,289,"0,0,2","0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0"
290,150A108GP0020,6.0,,结构,2,290,"2,0,0","0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0"
291,150A108GP0130,8.0,,结构,2,291,"2,0,0","0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0"
292,150A108GS0210,4.0,,结构,4,292,"4,0,0","0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0"
293,150A108GW0010,3.0,,特设,2,293,"0,0,2","0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0"
294,150A108HE0030,1.0,,特设,2,294,"0,0,2","0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0"
295,150A108HS0220,4.0,,结构,4,295,"4,0,0","0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0","4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0"
296,150A108JK0010,4.0,,机械,2,296,"0,2,0","0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0"
297,150A108JK0020,5.0,,机械,2,297,"0,2,0","0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0"
298,150A109CH0030,4.0,,机械,2,298,"0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
299,150A109FH0010,8.0,,机械,3,299,"0,3,0","0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0"
300,150A109ZF3001,4.0,,机械,3,300,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
301,150A109ZF3002,4.0,,机械,4,301,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
302,150A109ZF3003,4.0,,机械,2,302,"0,2,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2"
303,150A109ZF3004,4.0,,机械,3,303,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
304,150A109ZF3204,8.0,,机械,3,304,"0,3,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3"
305,150A109ZF3205,8.0,,机械,4,305,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
306,150A109ZF3206,8.0,,机械,5,306,"0,5,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5","0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5"
307,150A109ZF3207,8.0,,机械,5,307,"0,5,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5","0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5"
308,150A109ZF3801,8.0,,结构,6,308,"6,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6","6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6"
309,150A109ZF3802,4.0,,结构,4,309,"4,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
310,150A109ZF3803,4.0,,结构,4,310,"4,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
311,150A109ZP0010,7.0,,结构,5,311,"5,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5","5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5"
312,150A109ZZ0010,4.0,,机械,4,312,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
313,150A109ZZ0030,8.0,,结构,6,313,"6,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6","6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6"
314,150A110ZF3201,1.0,,机械,12,314,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
315,150A201ZF3201,2.0,,机械,12,315,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
316,150A201ZF3202,1.0,,机械,12,316,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
317,150A203BB0010.02,8.0,,结构,4,317,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
318,150A203BB0030.01,5.0,,结构,6,318,"6,0,0","0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
319,150A203BB0040,5.0,,结构,4,319,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
320,150A203BB0050,5.0,,结构,4,320,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
321,150A203BB0080,8.0,,结构,4,321,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
322,150A203BB0090,8.0,,结构,4,322,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
323,150A203BB0100,8.0,,结构,4,323,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
324,150A203BB0110,8.0,,结构,4,324,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
325,150A203BB0120,4.0,,结构,3,325,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
326,150A203BB0250,8.0,,结构,4,326,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
327,150A203BD0010,4.0,,机械,2,327,"0,2,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
328,150A203BD0020,4.0,,机械,6,328,"0,6,0","0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
329,150A203BS0010,4.0,,结构,3,329,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
330,150A203BS0030,4.0,,结构,2,330,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
331,150A203BS0035,8.0,,结构,4,331,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
332,150A203BS0050,4.0,,结构,2,332,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
333,150A203BS0060,4.0,,结构,3,333,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
334,150A203BS0070,8.0,,结构,4,334,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
335,150A203BS0071,8.0,,结构,4,335,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
336,150A203BS0072,8.0,,结构,4,336,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
337,150A203BS0073,8.0,,结构,4,337,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
338,150A203BS0080,8.0,,结构,4,338,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
339,150A203BS0090,2.0,,结构,2,339,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
340,150A203BS0100,2.0,,结构,2,340,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
